layer_size,momentum,number_of_features,mean_score,std_score
400,0,10,0.5238260655333826,0.087687886709935
400,0.9,10,0.6161951219512194,0.06497458718712051
50,0,11,0.5547558511948756,0.04672918092472779
50,0.9,11,0.42509632914510964,0.12934232488033723
200,0,11,0.5487223454052723,0.0684274788435833
200,0.9,11,0.5520142892338015,0.070064968596294
400,0,11,0.5766789849716679,0.06340200228980236
400,0.9,11,0.6208760778516875,0.06323140371739522
50,0,12,0.5396063069721607,0.04438308875195753
50,0.9,12,0.5128233555062823,0.12888859999375019
200,0,12,0.5369465385562947,0.06701501002224333
200,0.9,12,0.6324281842818429,0.056632671327970806
400,0,12,0.5711185020941117,0.05520162672020603
400,0.9,12,0.6350918945553092,0.03753184861035602
50,0,13,0.5273964030549397,0.07556625700438364
50,0.9,13,0.41480019709288,0.10090297955995765
200,0,13,0.5604863266814486,0.04159275830982127
200,0.9,13,0.6252963784183297,0.054394126842639196
400,0,13,0.5627075634392708,0.061420108791523494
400,0.9,13,0.6242207440256221,0.06467311792442196
50,0,14,0.5458644986449864,0.04458204202274821
50,0.9,14,0.47457797487065784,0.1406565073820223
200,0,14,0.5416417836905641,0.061874063120388574
200,0.9,14,0.5979916235525992,0.08386343522249437
400,0,14,0.5258728750923873,0.06499541426930504
400,0.9,14,0.6548410938654842,0.04507798463780023
50,0,15,0.5307257945306725,0.05046405834628789
50,0.9,15,0.43892830746489275,0.1328042191776188
200,0,15,0.5618236018723823,0.05694918277421248
200,0.9,15,0.6135358462675535,0.057200148451472435
400,0,15,0.5795949741315595,0.04693262725441655
400,0.9,15,0.6146489283074649,0.07241519909154225
50,0,16,0.5498364129095836,0.03585020384781695
50,0.9,16,0.4373491007637349,0.1534554376339745
200,0,16,0.5524956885932496,0.05773971871960425
200,0.9,16,0.6315565410199557,0.05568983641010739
400,0,16,0.5447292436560729,0.04117703579792274
400,0.9,16,0.6217240699679724,0.05828801727567531
50,0,17,0.5489154964276916,0.06357171917779975
50,0.9,17,0.4618748460211875,0.13604315356533841
200,0,17,0.52870066518847,0.08018167044135384
200,0.9,17,0.6177905888149791,0.05617972679998934
400,0,17,0.5620275930032028,0.045053132048147836
400,0.9,17,0.6106612466124661,0.060352899851361295
50,0,18,0.5196747967479676,0.06664334827075623
50,0.9,18,0.5247583148558759,0.12344400152124983
200,0,18,0.5585341217048534,0.08197296013282955
200,0.9,18,0.6068470066518847,0.0646860094530687
400,0,18,0.5733673318551367,0.04555449958125258
400,0.9,18,0.5895328898743533,0.06373531431929279
50,0,19,0.5398526730721853,0.034929644733126826
50,0.9,19,0.4601571815718158,0.13467002365026856
200,0,19,0.5555949741315596,0.033002145111591774
200,0.9,19,0.6039738851933973,0.06867764716264661
400,0,19,0.5778019216555802,0.03615490235251917
400,0.9,19,0.6179487558511949,0.06655933632364613
