layer_size,momentum,number_of_features,mean_score,std_score
600,0.9,16,0.5453870411431387,0.05771775399777881
50,0,17,0.4017871396895787,0.09896572295034388
50,0.9,17,0.41441685144124163,0.0984396743513006
300,0,17,0.41713426952451343,0.07588488264647471
300,0.9,17,0.5418561221975856,0.07517654525028017
600,0,17,0.46863808819906383,0.07556789969794911
600,0.9,17,0.5711214584873122,0.03964365987836927
50,0,18,0.35407932988420787,0.07584499463378062
50,0.9,18,0.3773983739837398,0.10954461107997045
300,0,18,0.42776398127617643,0.06069742153146938
300,0.9,18,0.5706829268292684,0.047822673605517826
600,0,18,0.4085912786400591,0.10344712324305909
600,0.9,18,0.5755885686129589,0.03703501668121991
50,0,19,0.4213091894555309,0.07340421060653722
50,0.9,19,0.46105050505050504,0.11291256039692345
300,0,19,0.3766804631682681,0.03548789906555922
300,0.9,19,0.5144986449864499,0.07690796562902
600,0,19,0.4193249568859326,0.06526351958787205
600,0.9,19,0.5684922394678492,0.041563424889443444
50,0,20,0.40555013550135505,0.06846079805839382
50,0.9,20,0.40888888888888886,0.10147380074516187
300,0,20,0.3946913032766691,0.05832016499326636
300,0.9,20,0.5564961813254496,0.03983210085807429
600,0,20,0.42268194136486814,0.06436756733001128
600,0.9,20,0.5518551367331854,0.04883430682719084
50,0,21,0.3627050997782705,0.07927708161163133
50,0.9,21,0.3711322985957132,0.08967973562449061
300,0,21,0.40333382606553336,0.05462669042301787
300,0.9,21,0.5658167036215815,0.036865246242188274
600,0,21,0.41220004927321996,0.07743610563273987
600,0.9,21,0.5706952451342695,0.034138860585204614
50,0,22,0.40265631929046564,0.05548288653256689
50,0.9,22,0.39779305247597935,0.14123843363197128
300,0,22,0.4275373244641537,0.05814519216321858
300,0.9,22,0.5436329145109633,0.04163931971470789
600,0,22,0.40576693766937677,0.06464517504978036
600,0.9,22,0.565840354767184,0.03480509801937458
50,0,23,0.3884183296378419,0.08424642174988606
50,0.9,23,0.44889430894308946,0.10945819376649858
300,0,23,0.41090317812269034,0.09775964620852919
300,0.9,23,0.562260655333826,0.031908829230466125
600,0,23,0.44527371273712746,0.06302113659150901
600,0.9,23,0.5591638334565163,0.05464809482133533
50,0,24,0.36269672333086966,0.056031191003161764
50,0.9,24,0.44300615915250063,0.1244935819407
300,0,24,0.4510372012811037,0.06569418327594308
300,0.9,24,0.559410692288741,0.045432988861490206
600,0,24,0.44021778763242175,0.08764315043286043
600,0.9,24,0.5433574772111357,0.07241829489718438
50,0,25,0.3910869672333087,0.07123503444676386
50,0.9,25,0.38516186252771617,0.1360804518157782
300,0,25,0.42708401084010833,0.07187434656694833
300,0.9,25,0.5702365114560237,0.026695167015301963
600,0,25,0.4131391968465139,0.12277295497500641
600,0.9,25,0.5633510716925352,0.0487227574629284
50,0,26,0.391140182310914,0.05497364304053313
50,0.9,26,0.4275023404779502,0.12359282084817982
300,0,26,0.4039704360679971,0.08358224108096397
300,0.9,26,0.5618167036215815,0.033241177483076555
600,0,26,0.4508179354520817,0.06295905090744026
600,0.9,26,0.5567050997782705,0.040733125185702934
50,0,27,0.41507218526730716,0.06365087720616817
50,0.9,27,0.3023138704114314,0.1370916981727999
300,0,27,0.4474432126139443,0.09278604568002607
300,0.9,27,0.5411845282089185,0.0483272163403639
600,0,27,0.4421182557280118,0.08638339107579326
600,0.9,27,0.5647021433850703,0.04759979889441768
50,0,28,0.34030007390983,0.07476216053922027
50,0.9,28,0.4614954422271495,0.09408962725306393
300,0,28,0.44016999260901707,0.07576597725703395
300,0.9,28,0.5682281350086228,0.048790911583097604
600,0,28,0.4390421286031042,0.07525101753496208
600,0.9,28,0.564479428430648,0.04388207276165839
50,0,29,0.36828677014042865,0.0615573480066664
50,0.9,29,0.4047750677506775,0.16374343320894155
300,0,29,0.4153165804385317,0.060698104962489466
300,0.9,29,0.5653826065533382,0.04333818552838374
600,0,29,0.4359541759053954,0.0474310722042773
600,0.9,29,0.5653619118009361,0.041221894271933956
50,0,30,0.38443114067504314,0.061030795040482644
50,0.9,30,0.49346489283074657,0.07773538791860504
300,0,30,0.4306750431140675,0.06718142780310885
300,0.9,30,0.5464745011086475,0.05558363052621305
600,0,30,0.4328539049026854,0.06883846909150296
600,0.9,30,0.5536319290465632,0.06466187549534598
50,0,31,0.34560679970436065,0.072854151539966
50,0.9,31,0.401760039418576,0.09350522122904553
300,0,31,0.36935254988913524,0.10072281849249255
300,0.9,31,0.5373422025129343,0.08321563406831071
600,0,31,0.426789849716679,0.0798964425205723
600,0.9,31,0.5738053707809806,0.04965551677686117
50,0,32,0.38954028085735404,0.07120835158061109
50,0.9,32,0.4632820891845282,0.10277790424307223
300,0,32,0.40334368070953436,0.05606168458049506
300,0.9,32,0.5378585858585858,0.0581266524330313
600,0,32,0.447920177383592,0.07777697030459645
600,0.9,32,0.5340950973146095,0.059009793142701675
50,0,33,0.33630795762503085,0.08803258601425593
50,0.9,33,0.48052623798965255,0.07930359772539282
300,0,33,0.4179472776545947,0.10354570579793773
300,0.9,33,0.5372012811037201,0.04731923887493729
600,0,33,0.4383813747228381,0.0550194766917667
600,0.9,33,0.5771278640059128,0.04239683442427163
50,0,34,0.3525149051490515,0.08285761743116252
50,0.9,34,0.47301847745750186,0.09622097135258213
300,0,34,0.4568115299334812,0.05403084206474226
300,0.9,34,0.5336624784429663,0.05554346728137887
600,0,34,0.4419935944813994,0.05434044468262421
600,0.9,34,0.5445370780980536,0.06098802513653003
50,0,35,0.3582473515644248,0.05524462329921167
50,0.9,35,0.470129588568613,0.10108900576505943
300,0,35,0.4081640798226164,0.07058194000340641
300,0.9,35,0.5558088199063809,0.04938732961856198
600,0,35,0.4595131805863513,0.0679982136857456
600,0.9,35,0.5544661246612466,0.03706252336142025
50,0,36,0.3685208179354521,0.09473731980595287
50,0.9,36,0.49966297117516634,0.09114205080965379
300,0,36,0.4552993348115299,0.05028130330740512
300,0.9,36,0.5665035723084504,0.052045835056958416
600,0,36,0.42152746982015277,0.07760883525013486
600,0.9,36,0.5476181325449618,0.040987926829046166
50,0,37,0.3877679231337768,0.07093719368187448
50,0.9,37,0.3720689825080069,0.12253543147531705
300,0,37,0.4066528701650653,0.08483475702005382
300,0.9,37,0.5338181818181819,0.07630863151885343
600,0,37,0.4687868933234786,0.06936601462110524
600,0.9,37,0.5589159891598916,0.0337600307312537
50,0,38,0.37292190194629227,0.04188594527298916
